cluster_number,movie_indices
0,"0,2,28,49,70,125,924,954,1135,1239,1413,1605,2609,2673,2942,2984,3163,3181,3432,3657,3669,4223,4525,4541,4580,4949,5008,5235,5565,5572,5617,5777,5927,6263,6322,6339,6467,6546,6549,6560,6600,6623,6649,6672,6707,6718,6975,7029,7033,7108,7160,7228,8191,8218,8305,8336,8342,8505,8552,8891,8894,9042,9083,9150,9217,9330,9464,9484,9493,9733,9822,9854,9858,9956,9986,10037,10220,10281,10307,10419,10570,10679,10748,10868,10952,11006,11288,11308,11481,11589,11624,11736,11778,11907,11978,12245,12387,12524,12633,12819,13045,13666,14026,14175,14715,15199,16110,17007,17406,18530,18660,19169,19595,19779,19868,19899,19972,20180,20251,20253,20293,20959,21553,21679,21767,21813,22174,23723,23764,24198,24778,25245,25442,25845,26275,29414,30022,31671,31982,32365,33073,33360,33978,36642,38676,39227,40063,40085,42081,42229,42293,42451,42584,42622,43027,43351,43366,43603"
1,"1,30,50,80,151,319,573,593,633,682,696,858,944,990,1097,1121,1188,1244,1381,1476,1557,1853,1898,2320,2648,3245,3258,3706,4079,4308,4559,4668,4730,4766,4774,4779,4840,4888,4900,4977,5027,5061,5067,5102,5109,5148,5151,5172,5200,5260,5261,5268,5276,5281,5307,5308,5324,5325,5444,5470,5476,5551,5573,5574,5640,5660,5692,5702,5711,5721,5799,5846,5909,5920,5974,5998,6021,6033,6063,6118,6188,6215,6216,6290,6306,6430,6463,6489,6496,6516,6537,6580,6619,6662,6663,6683,6695,6779,6811,6816,6846,6854,6891,6910,6914,6972,7014,7032,7037,7082,7086,7132,7157,7213,7229,7246,7256,7257,7267,7277,7294,7296,7433,7456,7470,7541,7549,7556,7608,7620,7628,7659,7665,7699,7725,7762,7767,7784,8006,8090,8135,8245,8291,8295,8598,8601,8648,8672,8717,8733,8765,8772,8801,8878,8922,8924,8950,8959,8970,9003,9054,9058,9085,9204,9403,9406,9498,9503,9512,9514,9530,9532,9566,9594,9599,9601,9602,9628,9679,9709,9736,9917,9980,10016,10034,10047,10088,10176,10182,10237,10255,10274,10283,10316,10320,10325,10356,10389,10410,10416,10478,10532,10552,10586,10782,10830,10877,10882,10885,10907,10954,11004,11254,11343,11362,11371,11384,11433,11440,11470,11561,11672,11679,11725,11755,11829,11852,11871,11937,11938,11948,11985,12034,12050,12057,12083,12182,12192,12221,12264,12297,12310,12382,12421,12439,12478,12507,12592,12657,12708,12864,12877,12974,13066,13147,13415,13503,13516,13677,13827,13839,13964,13981,13988,14051,14067,14146,14187,14218,14266,14310,14367,14455,14518,14602,14770,14822,14939,14942,14968,14975,14997,15032,15232,15384,15398,15438,15510,15555,15618,15650,15791,15851,15876,15892,15896,16059,16326,16327,16371,16443,16457,16627,16657,16747,16762,16829,17099,17134,17142,17153,17194,17247,17267,17370,17638,17663,17705,17726,17728,17806,17919,18011,18115,18160,18229,18238,18277,18280,18446,18568,18582,18598,18646,18719,18736,18760,18778,18840,18945,18997,19037,19151,19231,19346,19353,19441,19456,19473,19481,19674,19686,19700,19857,19948,19952,20183,20209,20220,20241,20281,20291,20462,20519,20520,20582,20614,20660,20697,20704,20723,21030,21196,21269,21270,21281,21312,21429,21459,21506,21520,21559,21631,21648,21674,21741,21790,21869,21952,22169,22320,22427,22519,22581,22643,22702,22855,22909,22940,22957,23214,23277,23286,23653,23686,23720,23904,23914,23954,23989,24025,24230,24288,24297,24362,24393,24396,24597,24657,24691,24981,25045,25065,25089,25135,25148,25233,25251,25396,25408,25544,25549,25728,25738,25928,26061,26133,26139,26185,26192,26412,26450,26460,26478,26537,26835,26848,26914,27036,27109,27273,27354,27422,27431,27438,27447,27670,28084,28106,28138,28169,28219,28245,28319,28342,28777,28814,28884,29036,29094,29100,29302,29626,29809,29855,30003,30135,30274,30623,30913,31027,31155,31194,31239,31240,31328,31375,31380,31448,31474,31607,32113,32288,32329,32405,32418,32480,32602,33121,33345,33366,33375,33376,33419,33499,33561,33689,33700,33753,33773,33884,33946,34068,34136,34564,34629,34652,34773,34932,34962,35042,35154,35224,35286,35504,35984,36654,36706,36729,36771,37017,37215,37392,37520,37726,37759,37774,37977,38465,38541,39013,39037,39242,39243,39383,39641,39703,40083,40273,40498,40950,41095,41145,41221,41272,41374,41375,41700,41793,41872,42050,42099,42112,42163,42216,42221,42264,42430,42548,42625,42646,42786,42821,42869,43022,43087,43092,43102,43126,43356,43422,43457,43511,43561,43606,43630,43651,43713"
2,"3,131,239,442,1033,1761,3137,3155,3554,4714,5306,5353,5429,5502,5547,5607,5610,5630,5662,5952,6423,6659,6907,6957,7689,7988,8084,8240,8285,8403,8492,8577,9018,9336,9849,10285,10918,11143,11467,11788,11903,12046,12153,12208,12437,12563,13168,13552,13612,13921,14049,14679,14892,16195,16205,16680,17347,17463,17903,21002,22089,22589,23742,23813,24094,27130,27245,30030,31359,31984,32384,32570,33630,34179,37050,38667,39530,40393,43367"
3,"4,208,401,2791,3395,4506,4554,4560,4587,4721,4798,4803,4832,4838,4972,4996,5028,5114,5180,5263,5275,5284,5295,5300,5318,5321,5359,5360,5380,5504,5800,5847,6074,6104,6321,6433,6454,6497,6527,6667,6839,7124,7196,7747,8151,8243,8523,9013,9074,9358,9359,9397,9490,9600,9746,9778,9897,11052,11439,12242,12265,13076,14317,15644,15720,15735,16406,16470,16663,16808,16884,16952,17197,17248,19092,19556,19622,20092,20719,20989,21863,22291,23326,23364,23570,24254,24528,24902,25483,25505,25804,27247,27736,28632,28703,28917,30807,30936,30998,32188,33002,34392,35064,36919,37436,37992,38320,38532,39220,40619,41126,41773,42855,43499"
4,"5,57,193,231,497,697,931,1210,1403,1407,1568,1603,2147,3252,4019,4231,4436,4856,5141,5312,5901,5937,5979,6000,6112,6137,6169,6291,6374,6404,6464,6482,6808,6844,7198,7206,7210,7398,7447,7528,7577,7627,8033,8247,8255,8464,8668,8918,8988,9006,9240,9315,9527,9824,10228,10321,10445,10562,11039,11058,11198,11215,11513,11528,11539,11718,11814,11843,11942,12134,12226,12268,12391,12530,12669,12874,13218,13349,13428,13528,13601,13630,13681,13689,13875,13972,13991,14010,14461,14592,14692,15646,16114,16180,16961,17154,17680,18350,18371,19301,19392,19629,19821,19925,20021,20114,20760,20804,21058,21428,21651,21683,22698,22716,23081,23113,23905,24067,25500,25864,25908,26650,27227,27374,27888,28027,28774,29817,30610,30813,30914,31383,31619,32355,32559,34595,35121,35802,36715,36826,37041,37129,37217,37622,38494,39208,39957,40196,40489,40661,41079,41277,41613,41965,41999"
5,"6,103,135,137,206,360,399,441,464,529,613,1015,1164,1292,1495,1748,2456,2674,2847,3108,3183,3584,3666,3723,4100,4194,4466,4474,4477,4497,4504,4524,4530,4584,4597,4598,4638,4661,4677,4695,4701,4732,4763,4772,4821,4873,4986,5005,5011,5057,5170,5223,5267,5474,5562,5577,5598,5621,5658,5675,5751,5784,5841,6055,6119,6133,6405,6419,6587,6905,7036,7092,7126,7266,7293,7308,7419,7491,7534,7538,7601,7618,7671,7726,7739,7748,7897,7917,7966,8066,8098,8112,8312,8467,8482,8512,8575,8631,8685,8686,8699,8848,8870,8935,8960,8969,9044,9056,9167,9231,9255,9369,9371,9412,9515,9589,9655,9695,9790,9837,9891,10019,10253,10257,10301,10491,10656,10685,10939,10956,10961,11000,11071,11162,11219,11224,11349,11569,11640,11695,11734,11752,11824,11845,11935,12080,12126,12213,12357,12397,12460,12613,12799,13074,13554,13571,13932,13987,14078,14125,14290,14620,14767,14938,15483,15586,15862,15879,15893,16109,16255,16264,16398,16545,16612,16752,16813,16887,17185,17392,17470,17585,17591,17604,17685,17735,17880,18098,18546,18733,18800,19228,19416,19471,19513,19726,19904,20137,20427,20536,20622,20686,21712,21833,21906,21915,22625,22831,23093,23126,23285,23329,23748,24109,24256,24692,24867,25086,25133,25303,25570,25754,25990,25996,26486,26911,26918,26955,27200,27269,27635,27692,27743,27819,27876,28220,28501,28898,29341,29391,30187,30189,30709,31059,31072,31134,31135,31150,31358,31379,32132,33197,33364,33623,33851,33958,34441,34541,34939,35574,35611,35771,36116,36140,36629,37566,37725,37890,38103,38160,38241,38651,39257,39881,40199,40429,40771,41443,41658,41842,41944,42296,42473,42808,43182,43529"
6,
7,"8,728,1780,2182,2926,4746,4862,5207,6331,6399,6520,6545,6681,7088,7234,7235,7248,7249,7824,8242,8323,8372,9112,9178,9199,9504,9776,10027,10033,10043,10045,10400,10503,10717,10732,11289,11420,11633,11867,11999,12288,12837,12846,13157,13304,13619,13735,13853,14536,15757,16106,16451,16982,17190,17833,17888,18977,19386,21957,23971,24179,24282,24824,26861,27620,27748,29159,30993,34157,34523,35302,36718,37043,38074,38757,39186,40446,41845,42118,42393,42972"
8,"11,41,58,60,65,107,150,152,162,168,187,188,189,196,197,199,200,201,219,220,222,223,226,227,251,304,310,312,321,329,339,352,379,386,388,404,412,416,452,465,472,480,482,499,502,504,534,536,537,544,555,570,572,591,592,597,617,623,680,690,713,745,747,753,782,845,855,885,887,888,896,897,918,922,932,945,948,951,1000,1009,1066,1068,1078,1079,1088,1111,1116,1128,1137,1138,1150,1157,1172,1195,1230,1233,1245,1247,1258,1277,1318,1326,1346,1347,1354,1361,1404,1462,1477,1489,1530,1541,1548,1567,1577,1580,1611,1615,1640,1655,1665,1723,1724,1725,1765,1787,1796,1802,1839,1881,1988,2021,2095,2101,2157,2166,2174,2188,2206,2246,2256,2293,2297,2302,2342,2366,2405,2481,2486,2489,2493,2523,2545,2569,2570,2587,2645,2651,2654,2677,2683,2703,2709,2722,2747,2773,2778,2779,2811,2837,2842,2861,2870,2895,2916,2953,2966,2972,2986,3010,3022,3024,3064,3070,3082,3102,3112,3122,3157,3165,3224,3270,3284,3291,3309,3326,3381,3398,3410,3414,3449,3470,3477,3481,3515,3574,3604,3660,3663,3697,3701,3715,3732,3735,3736,3755,3833,3870,3887,3947,3955,3962,3965,4012,4027,4046,4049,4065,4070,4075,4077,4078,4085,4099,4133,4169,4177,4196,4208,4217,4220,4247,4288,4307,4313,4341,4376,4392,4399,4406,4415,4417,4426,4457,4502,4512,4514,4522,4523,4539,4563,4571,4573,4610,4622,4643,4662,4671,4673,4678,4699,4716,4725,4729,4744,4770,4784,4791,4835,4853,4855,4866,4891,4917,4935,4940,5018,5020,5024,5026,5042,5079,5085,5124,5134,5202,5221,5241,5245,5249,5251,5277,5293,5304,5315,5361,5369,5430,5464,5466,5491,5498,5511,5600,5657,5691,5697,5710,5727,5736,5789,5821,5826,5827,5839,5843,5849,5872,5873,5881,5910,5930,5932,5964,5978,5984,6023,6027,6048,6060,6071,6082,6098,6117,6128,6143,6151,6161,6185,6222,6235,6259,6281,6294,6298,6301,6308,6320,6337,6341,6356,6372,6384,6387,6390,6398,6410,6438,6439,6443,6503,6513,6583,6585,6589,6592,6602,6656,6665,6668,6676,6712,6722,6728,6729,6734,6746,6783,6786,6806,6823,6843,6851,6881,6890,6933,6936,7000,7005,7055,7103,7115,7128,7147,7166,7193,7211,7217,7306,7324,7357,7365,7404,7407,7428,7436,7473,7476,7498,7507,7544,7573,7592,7593,7619,7633,7642,7668,7692,7701,7755,7758,7779,7783,7818,7834,7841,7880,7889,7934,7965,7980,7990,8007,8012,8035,8071,8077,8078,8100,8125,8130,8131,8168,8186,8187,8189,8190,8195,8205,8271,8290,8334,8344,8381,8391,8392,8420,8446,8477,8479,8494,8507,8510,8521,8544,8545,8546,8586,8593,8627,8637,8675,8711,8714,8723,8744,8745,8757,8774,8816,8846,8883,8889,8896,8914,8923,8946,8954,8962,9039,9050,9053,9060,9067,9088,9102,9108,9120,9170,9183,9186,9190,9191,9205,9294,9351,9363,9413,9418,9516,9520,9540,9557,9565,9586,9598,9606,9609,9640,9641,9648,9678,9703,9755,9763,9768,9786,9797,9801,9820,9835,9870,9881,9911,9933,9972,10001,10028,10044,10116,10121,10142,10149,10170,10174,10188,10191,10199,10229,10234,10245,10259,10260,10277,10333,10355,10408,10421,10438,10459,10507,10542,10549,10569,10583,10629,10641,10724,10727,10744,10771,10780,10814,10822,10855,10862,10880,10920,10942,10978,10991,10992,11024,11047,11081,11108,11120,11128,11139,11160,11189,11199,11207,11245,11272,11290,11321,11344,11378,11422,11436,11437,11454,11476,11483,11593,11597,11598,11651,11661,11675,11708,11729,11746,11761,11773,11839,11872,11895,11898,11916,11925,11941,11958,11977,12002,12013,12018,12063,12065,12084,12129,12132,12141,12157,12211,12223,12259,12269,12295,12325,12326,12341,12417,12428,12436,12456,12487,12553,12645,12681,12709,12715,12718,12869,12896,12960,12998,13067,13117,13145,13164,13234,13313,13359,13360,13378,13401,13484,13523,13529,13541,13547,13562,13563,13581,13586,13589,13616,13634,13635,13680,13684,13702,13799,13809,13810,13880,14034,14041,14073,14151,14206,14240,14283,14293,14348,14406,14425,14429,14448,14457,14476,14490,14568,14578,14704,14764,14800,14922,14929,14941,14944,14945,15013,15019,15028,15053,15061,15073,15096,15268,15323,15324,15336,15347,15374,15463,15484,15521,15616,15617,15660,15755,15756,15761,15785,16007,16018,16108,16118,16124,16147,16175,16233,16376,16410,16425,16432,16440,16479,16488,16500,16552,16566,16578,16645,16649,16673,16744,16765,16769,16963,16998,17031,17034,17064,17070,17083,17101,17167,17192,17351,17364,17553,17590,17613,17657,17724,17748,17774,17783,17785,17837,17860,17889,17901,17909,17918,17991,17995,18003,18104,18187,18209,18363,18393,18408,18410,18459,18490,18630,18743,18835,18923,18950,19005,19063,19065,19098,19248,19277,19314,19326,19343,19361,19417,19419,19445,19465,19493,19494,19530,19578,19583,19613,19630,19739,19742,19753,19765,19770,19792,19809,19842,19946,20030,20070,20077,20142,20222,20339,20385,20516,20635,20651,20654,20666,20695,20712,20830,20834,20863,20865,20929,21043,21111,21200,21230,21260,21292,21313,21336,21369,21427,21454,21455,21523,21543,21611,21617,21650,21653,21711,21727,21743,21795,21819,21836,21847,21981,21993,22178,22245,22247,22294,22297,22317,22333,22374,22410,22436,22595,22663,22673,22849,23033,23041,23054,23060,23239,23344,23347,23354,23408,23499,23578,23627,23643,23730,23733,23808,23882,23908,23970,24004,24007,24022,24065,24138,24182,24208,24265,24464,24536,24572,24629,24670,24729,24751,24780,24878,24898,24952,24954,24983,25027,25034,25097,25114,25149,25184,25223,25291,25301,25338,25391,25447,25527,25535,25545,25580,25681,25686,25695,25823,25833,25871,25885,25976,26038,26159,26349,26442,26519,26554,26614,26693,26778,26811,26952,26993,27060,27062,27076,27168,27182,27300,27331,27678,27739,27756,27759,27767,27782,27892,27969,28047,28141,28159,28207,28216,28229,28350,28442,28445,28486,28503,28713,28868,28933,28935,28982,28988,29006,29009,29022,29065,29088,29096,29097,29099,29101,29161,29218,29268,29362,29514,29563,29635,29655,29744,29808,29931,29932,29983,30062,30087,30199,30223,30261,30286,30298,30309,30390,30421,30427,30577,30589,30633,30657,30702,30720,31096,31121,31122,31205,31206,31236,31265,31309,31354,31413,31426,31468,31515,31581,31588,31589,31596,31602,31687,31704,31844,31845,31846,31935,31990,32035,32043,32057,32081,32084,32106,32160,32221,32258,32286,32287,32343,32366,32388,32430,32440,32535,32536,32544,32616,32661,32952,32954,32955,32972,32996,33025,33037,33041,33045,33084,33112,33170,33179,33201,33214,33219,33274,33316,33343,33351,33357,33502,33534,33547,33554,33564,33600,33639,33696,33718,33816,33858,33875,33971,34057,34130,34144,34174,34175,34234,34318,34330,34498,34528,34576,34655,34717,34729,34748,34834,34851,34888,34892,34898,34953,34964,34987,34999,35011,35021,35045,35056,35059,35174,35178,35264,35313,35317,35357,35472,35531,35598,35629,35637,35651,35666,35680,35922,36074,36078,36080,36086,36157,36158,36345,36369,36403,36433,36564,36586,36625,36782,36783,36818,36912,36960,37011,37026,37035,37048,37085,37153,37167,37199,37200,37330,37358,37401,37415,37456,37539,37571,37630,37673,37794,37820,37865,37875,37943,37951,37974,38030,38058,38087,38286,38348,38361,38526,38555,38570,38629,38632,38652,38732,38745,38799,38853,38947,38960,39097,39195,39296,39302,39613,39680,39688,39700,39724,39783,39849,39900,39908,40025,40034,40039,40053,40084,40105,40207,40580,40686,40784,40889,40906,41016,41058,41251,41278,41388,41906,42057,42065,42072,42110,42123,42136,42143,42160,42173,42179,42234,42246,42260,42285,42298,42302,42324,42332,42348,42383,42420,42426,42431,42443,42444,42450,42454,42462,42475,42485,42492,42526,42537,42560,42581,42629,42634,42651,42666,42678,42680,42687,42697,42732,42753,42755,42797,42820,42835,42845,42851,42889,42897,42902,42905,42998,43024,43029,43031,43052,43059,43067,43078,43080,43085,43097,43111,43119,43127,43130,43173,43175,43205,43210,43239,43258,43272,43285,43299,43307,43309,43374,43379,43398,43401,43412,43451,43470,43489,43538,43547,43564,43589,43591,43596,43604,43627,43628,43637,43638,43656,43679,43683,43688,43703,43709,43715,43723,43728"
9,"12,42,82,86,280,311,411,895,1350,3246,3529,3784,3829,4390,4431,4448,4496,4557,4595,4611,4631,4689,4690,4702,4707,4796,4808,4814,4823,4839,4957,5014,5069,5115,5163,5173,5178,5184,5290,5329,5457,5465,5483,5516,5517,5522,5601,5707,5712,5747,5894,5907,6211,6227,6228,6258,6367,6437,6504,6610,6657,6759,6795,6921,7185,7278,7479,7520,8022,8169,8650,8754,8797,8953,8964,9057,9238,9253,9355,9625,9840,9855,9912,9925,9947,9958,9959,9979,10156,10412,11028,11178,11211,11268,11291,11416,11501,11885,12092,12196,12523,12759,12842,12887,13040,14048,14178,14350,14453,14466,16570,16839,16920,17391,17582,17584,17600,17805,18027,18117,18652,19143,19190,19237,19247,19299,19316,19410,19435,19547,19636,19744,19856,20289,20701,21102,21493,21797,21886,22659,23399,23525,23632,24408,25318,25334,25360,25518,26171,26241,26243,26502,26686,26917,27007,27015,27580,27761,28839,29479,29522,29818,30692,30707,30817,30979,30981,30984,31132,32831,33003,33272,33425,33518,33694,34616,34889,35155,35434,36404,36509,36577,37196,37369,37550,37928,38072,38848,39194,39400,39542,40223,40483,42138,42217,43095,43498"
